@relation gesture
@attribute mean1 numeric
@attribute mean2 numeric
@attribute sd1 numeric
@attribute sd2 numeric
@attribute gesture {'tap','wipe','knock'}

@data 
36.714287,24.142857,17.192785,29.211403,'tap'
48.357143,27.571428,35.292793,20.014372,'tap'
32.45238,22.857141,20.456707,17.493574,'tap'
24.863094,27.714285,19.814743,22.826004,'tap'
42.954365,14.571429,26.81131,10.638294,'tap'
42.954365,14.571429,43.265327,14.932008,'tap'
27.73859,90.39286,20.374828,150.31198,'tap'
18.57953,60.13095,16.325012,46.675957,'tap'
18.57953,60.13095,19.013784,60.517826,'tap'
23.644882,25.532738,12.54306,23.91365,'tap'
23.644882,25.532738,23.90865,25.996815,'tap'
24.822441,20.766369,17.908781,15.491242,'tap'
21.20561,56.191593,10.862172,29.963736,'tap'
21.20561,56.191593,21.460197,56.457584,'tap'
42.551403,70.5479,22.992552,93.25078,'tap'
22.183802,44.182632,15.519163,28.242516,'tap'
22.183802,44.182632,22.530872,44.501095,'tap'
22.183802,44.182632,22.685942,44.6834,'tap'
30.0919,30.591316,22.25698,24.13748,'tap'
30.0919,30.591316,30.459473,30.983318,'tap'
37.54595,37.29566,27.347036,27.08226,'tap'
37.54595,37.29566,37.908382,37.656982,'tap'
30.772976,38.647827,22.701958,27.687,'tap'
50.38649,31.323914,38.38092,23.049017,'tap'
23.462164,30.441305,17.80743,17.796175,'tap'
13.410361,54.406887,10.855513,39.046074,'tap'
13.410361,54.406887,13.809175,54.764545,'tap'
36.352592,52.101723,25.917025,62.553562,'tap'
36.352592,52.101723,36.70733,52.698605,'tap'
34.676296,30.050861,24.919498,26.851381,'tap'
57.8921,85.01695,37.373795,97.58051,'tap'
59.946053,42.508476,42.632862,43.078545,'tap'
48.98651,79.62712,32.73001,117.7315,'tap'
37.32884,154.54237,22.320564,183.06212,'tap'
27.16442,105.77119,20.779095,82.913315,'tap'
47.291107,45.192795,24.455345,28.933325,'tap'
47.291107,45.192795,47.548965,45.51178,'tap'
24.572777,83.5482,25.285427,50.613384,'tap'
16.857592,173.84941,15.024712,208.38536,'tap'
32.714397,43.462353,17.095827,44.057602,'tap'
32.714397,43.462353,32.97465,43.966278,'tap'
62.8572,194.23117,49.460037,173.92664,'tap'
67.7143,77.05779,38.32498,61.36441,'tap'
67.7143,77.05779,67.996704,77.45494,'tap'
19.342861,272.61157,18.20902,196.67122,'tap'
28.447622,92.87052,17.018858,91.241486,'tap'
93.482544,170.95683,60.196274,103.86886,'tap'
40.827515,95.31895,34.321316,78.872505,'tap'
42.942505,118.439644,25.037416,69.21971,'tap'
33.980835,41.813213,20.169205,39.807323,'tap'
55.24521,36.703304,45.704468,42.407677,'tap'
56.561302,21.675827,29.746693,12.788578,'tap'
38.890327,33.918957,20.287262,49.692173,'tap'
38.890327,33.918957,39.150284,34.643726,'tap'
38.890327,33.918957,39.390453,34.425854,'tap'
53.73629,26.98987,40.356728,38.925793,'tap'
48.434074,48.247467,27.741009,72.26347,'tap'
46.217037,24.123734,32.92925,24.861341,'tap'
46.217037,24.123734,46.571922,24.633633,'tap'
46.217037,24.123734,46.718163,24.62901,'tap'
24.55426,26.530933,17.725136,36.10096,'tap'
32.518085,50.176975,21.751339,43.09446,'tap'
32.518085,50.176975,32.850834,50.604576,'tap'
23.586348,59.196163,14.259043,56.251015,'tap'
37.19545,19.732054,22.288744,20.20159,'tap'
37.19545,19.732054,37.49387,20.237478,'tap'
41.097725,13.866027,29.510546,11.111131,'tap'
46.048862,21.933014,32.97364,16.691982,'tap'
46.048862,21.933014,46.40551,22.310291,'tap'
44.52443,12.966507,31.86812,11.636985,'tap'
44.52443,12.966507,44.880875,13.407732,'tap'
44.52443,12.966507,45.02561,13.473605,'tap'
74.262215,99.48325,56.76371,93.26183,'tap'
74.262215,99.48325,74.64342,99.95089,'tap'
44.087402,55.494415,29.277988,45.67855,'tap'
44.087402,55.494415,44.418205,55.90446,'tap'
61.6958,28.164804,37.53362,20.519215,'tap'
35.92395,114.0412,26.306494,143.95905,'tap'
35.487324,26.006866,21.9047,20.926558,'tap'
30.243662,57.003433,21.955406,45.995136,'tap'
52.747883,150.00114,32.58586,171.04689,'tap'
43.582626,114.66705,25.651718,68.17583,'tap'
43.582626,114.66705,43.875927,114.96394,'tap'
42.791313,71.33353,30.623508,59.50307,'tap'
42.791313,71.33353,43.14765,71.74939,'tap'
55.263775,53.111176,39.997974,48.06445,'tap'
45.13189,90.55559,33.01167,69.46388,'tap'
59.043964,37.185196,34.80409,32.129436,'tap'
49.02198,20.092598,35.625824,19.078768,'tap'
56.505493,16.52315,29.42433,12.737806,'tap'
53.252747,8.261575,37.920044,8.6384325,'tap'
74.41758,16.753859,44.72088,10.914663,'tap'
41.604393,79.18846,31.373615,77.12828,'tap'
50.4011,22.297115,27.018997,20.431786,'tap'
50.4011,22.297115,50.668434,22.750673,'tap'
53.20055,21.148558,38.005287,15.351406,'tap'
38.100273,190.57428,29.305754,180.33162,'tap'
38.100273,190.57428,38.48294,191.04681,'tap'
23.550137,108.28714,20.05989,96.66521,'tap'
23.550137,108.28714,23.972252,108.73256,'tap'
23.550137,108.28714,24.053715,108.78804,'tap'
22.775068,90.64357,16.48269,65.71278,'tap'
35.193768,36.660892,22.06331,26.943352,'tap'
17.596884,52.330444,17.907597,38.800476,'tap'
20.798443,40.165222,15.177826,30.000319,'tap'
51.599483,85.05508,33.862644,96.04932,'tap'
51.599483,85.05508,51.926575,85.61784,'tap'
51.266582,22.50918,28.98566,15.28986,'tap'
43.133293,36.75459,31.269932,28.010012,'tap'
35.711098,14.25153,21.087887,12.705772,'tap'
18.54222,272.0503,23.980595,217.78987,'tap'
52.30845,68.41006,30.271915,56.064358,'tap'
52.30845,68.41006,52.59701,68.8186,'tap'
87.916664,116.166664,48.116978,58.79744,'wipe'
87.916664,116.166664,88.189896,116.419464,'wipe'
86.49768,103.58796,59.78405,74.011566,'wipe'
122.72196,133.06532,91.240814,103.862366,'wipe'
134.31017,152.33878,70.07568,88.65647,'wipe'
84.78467,94.51864,51.220257,62.46948,'wipe'
89.3707,96.73898,51.80926,80.868996,'wipe'
81.84534,96.808174,59.52645,76.02134,'wipe'
81.84534,96.808174,82.20818,97.20002,'wipe'
109.3276,137.17809,85.584694,108.20022,'wipe'
109.3276,137.17809,109.718315,137.5719,'wipe'
117.61823,165.59688,82.82962,127.21513,'wipe'
120.47879,147.58871,67.569855,96.73415,'wipe'
119.679886,141.59898,65.07849,87.30438,'wipe'
119.679886,141.59898,119.95146,141.90692,'wipe'
122.104996,154.97495,85.14653,131.32707,'wipe'
148.22179,176.06966,94.88926,134.11424,'wipe'
148.22179,176.06966,148.54153,176.4501,'wipe'
155.01706,204.77458,82.97432,119.89593,'wipe'
112.910645,129.16133,59.90992,78.30052,'wipe'
112.910645,129.16133,113.17563,129.4641,'wipe'
112.910645,129.16133,113.41071,129.66154,'wipe'
124.2079,136.86867,78.40998,78.65681,'wipe'
80.41559,99.38125,60.725296,72.60807,'wipe'
86.45825,109.741516,59.669018,74.5938,'wipe'
109.429924,120.98825,71.11608,92.37522,'wipe'
115.47723,156.4891,81.67865,106.47121,'wipe'
115.671165,140.20279,64.79541,82.853905,'wipe'
115.671165,140.20279,115.95091,140.49796,'wipe'
91.05593,110.10023,65.476364,77.13272,'wipe'
91.05593,110.10023,91.414764,110.44996,'wipe'
91.05593,110.10023,91.556526,110.600685,'wipe'
100.82476,119.83783,61.891094,78.91524,'wipe'
127.05498,160.72252,68.154205,80.056335,'wipe'
127.05498,160.72252,127.32291,160.97137,'wipe'
98.36463,122.576775,57.930943,71.788216,'wipe'
136.2439,163.69168,88.182274,106.2114,'wipe'
136.2439,163.69168,136.56712,164.01578,'wipe'
148.66028,200.26369,90.1417,111.49739,'wipe'
148.66028,200.26369,148.96315,200.54187,'wipe'
98.51233,110.86644,86.7161,87.705284,'wipe'
98.51233,110.86644,98.95148,111.26128,'wipe'
113.833916,124.850784,81.030754,93.005295,'wipe'
102.69822,114.18515,69.85274,81.48852,'wipe'
146.05818,166.59877,98.1868,117.96502,'wipe'
84.64445,91.51111,90.03337,91.70021,'knock'
94.82578,115.86045,81.62224,115.812386,'knock'
80.11411,80.61628,71.278534,60.821743,'knock'
107.01427,126.202034,110.43185,141.57068,'knock'
104.716324,183.17172,182.90286,334.28552,'knock'
114.83954,135.89647,141.39708,173.76573,'knock'
114.83954,135.89647,115.45353,136.5343,'knock'
151.87106,193.76628,165.49042,247.9477,'knock'
151.87106,193.76628,152.41493,194.40504,'knock'
260.9857,315.19626,275.37732,336.5175,'knock'
122.8551,124.59947,124.0539,96.2919,'knock'
122.8551,124.59947,123.35895,124.98528,'knock'
122.8551,124.59947,123.35613,125.10001,'knock'
56.095013,47.622166,37.539047,28.851458,'knock'
56.095013,47.622166,56.428623,47.92413,'knock'
79.09976,74.4582,38.62112,44.910046,'knock'
112.38123,126.27864,144.03853,183.4726,'knock'
112.38123,126.27864,113.02026,127.00302,'knock'
112.38123,126.27864,112.88296,126.78051,'knock'
96.67009,111.734184,77.19466,94.19762,'knock'
59.627655,55.219658,42.465107,31.952599,'knock'
45.953457,49.02746,21.274683,26.329592,'knock'
83.06357,96.935165,73.01053,76.54102,'knock'
59.31254,72.65293,61.96554,88.48939,'knock'
49.539066,56.206615,25.255167,32.32872,'knock'
112.189125,142.67528,130.79631,150.72784,'knock'
112.189125,142.67528,112.770546,143.20253,'knock'
112.189125,142.67528,112.6906,143.17624,'knock'
75.018906,111.76753,39.157284,96.827324,'knock'
116.00118,135.92297,113.25147,150.063,'knock'
116.00118,135.92297,116.48831,136.47388,'knock'
75.00014,65.21366,54.95505,31.080801,'knock'
67.90001,83.52136,92.62174,99.055725,'knock'
89.253845,104.39799,112.972946,134.80086,'knock'
98.42063,113.29082,130.74997,166.35664,'knock'
44.084126,59.858166,23.728777,31.068052,'knock'
48.73894,60.323875,32.271442,35.396107,'knock'
48.73894,60.323875,49.06889,60.61655,'knock'
130.8739,172.03238,127.09234,221.35368,'knock'
219.97478,276.40646,197.75414,258.04358,'knock'
170.84077,211.54771,224.66025,300.77924,'knock'
170.84077,211.54771,171.49702,212.25742,'knock'
170.84077,211.54771,171.34196,212.0488,'knock'
138.09343,191.06085,193.0553,306.63745,'knock'
138.09343,191.06085,138.79066,191.86163,'knock'
111.18224,157.01015,185.97397,218.31046,'knock'
85.75,102.833336,99.41422,116.29189,'knock'
85.75,102.833336,86.32773,103.39723,'knock'
85.75,102.833336,86.2519,103.334854,'knock'
181.43182,52.348488,176.70294,51.515816,'knock'
188.68637,100.2697,230.57555,72.862045,'knock'
97.2929,85.76686,105.288216,55.91469,'knock'
51.058582,46.953373,27.89864,27.640207,'knock'
51.058582,46.953373,51.33106,47.24679,'knock'
146.50488,293.99612,173.55229,422.48514,'knock'
68.500374,106.69201,46.829407,65.33238,'knock'
68.500374,106.69201,68.84135,106.99774,'knock'
118.59094,65.60837,254.65483,41.605007,'knock'
118.59094,65.60837,119.6598,65.924675,'knock'
118.59094,65.60837,119.09438,66.10887,'knock'
58.573868,59.951046,51.186634,38.271507,'knock'
108.976326,134.05284,86.48424,146.32224,'knock'
108.976326,134.05284,109.37241,134.5975,'knock'
108.976326,134.05284,109.47699,134.55394,'knock'
57.441814,128.56143,49.860935,136.73138,'knock'
57.441814,128.56143,57.8742,129.0921,'knock'
94.34883,127.65163,122.60628,184.12405,'knock'
94.34883,127.65163,94.99636,128.3708,'knock'
94.34883,127.65163,94.85093,128.15346,'knock'
58.405315,95.20184,113.263565,67.94182,'knock'
58.405315,95.20184,59.36703,95.55801,'knock'
34.450443,75.93349,21.382526,111.5022,'knock'
59.967674,86.64314,51.697155,60.895836,'knock'
59.967674,86.64314,60.39718,86.99385,'knock'
144.2334,57.62607,238.67099,32.335392,'knock'
144.2334,57.62607,145.05843,57.905952,'knock'
144.2334,57.62607,144.73538,58.126324,'knock'
68.657585,83.056915,60.63952,123.97421,'knock'
68.31051,98.20379,70.46882,88.029236,'knock'
68.31051,98.20379,68.82437,98.65097,'knock'
86.73106,172.12039,54.790836,167.42258,'knock'
86.73106,172.12039,87.04635,172.60606,'knock'
